mincriterion,minbucket,maxsurrogate,train.acc,test.acc
0.9,600,0,0.861206071379735,0.854226475279107
0.95,600,0,0.861206071379735,0.854226475279107
0.99,600,0,0.861206071379735,0.854226475279107
0.9,800,0,0.849993162860659,0.846251993620415
0.95,800,0,0.849993162860659,0.846251993620415
0.99,800,0,0.849993162860659,0.846251993620415
0.9,1000,0,0.841241624504307,0.830940988835726
0.95,1000,0,0.841241624504307,0.830940988835726
0.99,1000,0,0.841241624504307,0.830940988835726
0.9,600,3,0.861206071379735,0.854226475279107
0.95,600,3,0.861206071379735,0.854226475279107
0.99,600,3,0.861206071379735,0.854226475279107
0.9,800,3,0.849993162860659,0.846251993620415
0.95,800,3,0.849993162860659,0.846251993620415
0.99,800,3,0.849993162860659,0.846251993620415
0.9,1000,3,0.841241624504307,0.830940988835726
0.95,1000,3,0.841241624504307,0.830940988835726
0.99,1000,3,0.841241624504307,0.830940988835726
0.9,600,6,0.861206071379735,0.854226475279107
0.95,600,6,0.861206071379735,0.854226475279107
0.99,600,6,0.861206071379735,0.854226475279107
0.9,800,6,0.849993162860659,0.846251993620415
0.95,800,6,0.849993162860659,0.846251993620415
0.99,800,6,0.849993162860659,0.846251993620415
0.9,1000,6,0.841241624504307,0.830940988835726
0.95,1000,6,0.841241624504307,0.830940988835726
0.99,1000,6,0.841241624504307,0.830940988835726
